2023-10-01 22:47:35,532.smartsmoker_producer.INFO ==================================================
2023-10-01 22:47:35,532.smartsmoker_producer.INFO Today is 2023-10-01 at 10:47 PM
2023-10-01 22:47:35,533.smartsmoker_producer.INFO Running on: nt Windows 10
2023-10-01 22:47:35,533.smartsmoker_producer.INFO Python version:  3.10.9
2023-10-01 22:49:59,729.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:54,149.9]'....
2023-10-01 22:49:59,739.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:54,No data received from row]'....
2023-10-01 22:49:59,748.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:54,No data received from row]'....
2023-10-01 22:50:01,756.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:54,149.9]'....
2023-10-01 22:50:01,765.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:54,No data received from row]'....
2023-10-01 22:50:01,777.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:54,No data received from row]'....
2023-10-01 22:50:03,794.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:55,151.1]'....
2023-10-01 22:50:03,804.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:55,No data received from row]'....
2023-10-01 22:50:03,814.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:55,No data received from row]'....
2023-10-01 22:50:05,834.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:55,151.2]'....
2023-10-01 22:50:05,850.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:55,No data received from row]'....
2023-10-01 22:50:05,869.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:55,No data received from row]'....
2023-10-01 22:50:07,898.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:55,151.2]'....
2023-10-01 22:50:07,926.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:55,No data received from row]'....
2023-10-01 22:50:07,951.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:55,No data received from row]'....
2023-10-01 22:50:09,978.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:56,152.4]'....
2023-10-01 22:50:10,021.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:56,No data received from row]'....
2023-10-01 22:50:10,034.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:56,No data received from row]'....
2023-10-01 22:50:12,048.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:56,152.4]'....
2023-10-01 22:50:12,068.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:56,No data received from row]'....
